gre,gpa,rank,sex,age,nationality,admission
380,3.61,3,f,19,Korea,불합격
660,3.67,3,f,18,Korea,
800,4,1,m,19,Korea,합격
,3.19,4,m,19,Korea,합격
520,2.93,4,f,19,Korea,불합격
760,3,2,f,19,Korea,합격
560,2.98,1,m,19,Korea,합격
400,3.08,2,f,19,Korea,불합격
540,3.39,3,m,19,Korea,합격
700,3.92,2,m,19,Korea,불합격
800,4,4,m,18,Japan,불합격
440,3.22,1,m,19,Korea,불합격
760,4,1,m,19,Korea,합격
700,3.08,2,f,19,Korea,불합격
700,4,1,f,19,Korea,합격
480,3.44,3,f,19,Korea,불합격
780,3.87,4,f,19,Korea,불합격
360,2.56,3,f,19,Korea,불합격
800,3.75,2,f,19,Korea,불합격
540,3.81,1,m,19,Korea,합격
500,3.17,3,f,19,Korea,
660,3.63,2,m,19,Korea,합격
600,2.82,4,m,19,Korea,불합격
680,3.19,4,m,19,Korea,불합격
760,3.35,2,m,19,Korea,합격
800,3.66,1,m,19,Korea,합격
620,3.61,1,f,18,Japan,합격
520,3.74,4,f,19,Korea,합격
780,3.22,2,f,19,Korea,합격
520,,1,f,19,Korea,불합격
540,3.78,4,m,19,Korea,불합격
760,3.35,3,f,19,Korea,불합격
600,3.4,3,m,19,Korea,불합격
800,4,3,m,19,Korea,합격
360,3.14,1,m,19,Korea,불합격
400,3.05,2,m,19,Korea,불합격
580,3.25,1,m,19,Korea,불합격
520,2.9,3,f,19,Korea,불합격
500,3.13,2,f,19,Korea,합격
520,2.68,3,m,19,Korea,합격
560,2.42,2,m,19,Korea,불합격
580,3.32,2,m,19,Korea,합격
600,3.15,2,m,19,Korea,합격
500,3.31,3,m,19,Korea,불합격
700,2.94,2,f,19,Korea,불합격
460,3.45,3,f,20,Korea,합격
580,3.46,2,f,20,Korea,합격
500,2.97,4,f,20,Korea,불합격
440,2.48,4,m,19,Korea,불합격
400,3.35,3,f,19,Korea,불합격
640,3.86,3,m,19,Korea,불합격
440,3.13,4,m,19,Korea,불합격
740,3.37,4,f,19,Korea,불합격
680,3.27,2,f,19,Korea,합격
660,3.34,3,f,20,Korea,불합격
740,4,3,f,19,Korea,합격
560,3.19,3,m,19,Korea,불합격
380,2.94,3,f,19,Korea,불합격
400,3.65,2,m,19,Korea,불합격
600,2.82,4,m,19,Korea,불합격
620,3.18,2,f,19,Korea,합격
560,3.32,4,m,19,Korea,불합격
640,3.67,3,m,19,Korea,불합격
680,3.85,3,m,19,Korea,합격
580,4,3,m,19,Korea,불합격
600,3.59,2,m,19,Korea,불합격
740,3.62,4,f,19,Korea,불합격
620,3.3,1,f,19,Korea,불합격
580,3.69,1,f,19,Korea,불합격
800,3.73,1,f,19,Korea,불합격
640,4,3,m,19,Korea,불합격
300,2.92,4,f,19,Korea,불합격
480,3.39,4,m,19,Korea,불합격
580,4,2,m,19,Korea,불합격
720,3.45,4,m,19,Korea,불합격
720,4,3,m,19,Korea,불합격
560,3.36,3,m,19,Korea,불합격
800,4,3,f,19,Korea,합격
540,3.12,1,f,19,China,불합격
620,4,1,m,20,Korea,합격
700,2.9,4,m,18,Korea,불합격
620,3.07,2,m,18,Korea,불합격
500,2.71,2,m,20,Korea,불합격
380,2.91,4,m,18,Korea,불합격
500,3.6,3,f,18,Korea,합격
520,2.98,2,f,21,Korea,불합격
600,3.32,2,f,22,Korea,불합격
600,3.48,2,m,20,Korea,불합격
700,3.28,1,m,18,Korea,불합격
660,4,2,m,18,Korea,합격
